lemma;significato;categoria;note
αάατος/ον;Inviolabile, Difficile, Decisivo, Invincibile;Aggettivo;Seconda classe, Alfa privativo
ααγής/ές;Infrangibile, Solido, Forte;Aggettivo;Seconda classe, Alfa privativo
αάζω;Esalo, Respiro;Verbo;Alfa privativo
άανθα,η;Orecchino;Sostantivo;Prima declinazione, Alfa privativo
άαπτο/ονς;Irresistibile, Tremendo, Invincibile, Temibile;Aggettivo;Seconda classe, Alfa privativo
άας;Domani;Avverbio;Arcaico
αασμός/οῦ,ο;Esalazione, Respiro;Sostantivo;Seconda declinazione
άατος/ον;Insaziabile, Dannoso, Funesto;Aggettivo;Prima classe, Alfa privativo
αάω;Acceco, Sconvolgo la mente, Danneggio, inganno;Verbo;Verbo contratto
άβαι/ῶν,αι;Aba;Sostantivo;Prima declinazione, Ninfa
αβαθής/ές;Senza profondità,Aggettivo;Seconda classe, Alfa privativo
άβαθροςον;Senza Base;aggettivo;Seconda classe, Alfa privativo
αβακέω;Ignoro, Non riconosco;Verbo;Verbo contratto
αβακής/ές;Semplice, Quieto;Aggettivo;Seconda classe
αβάκιον/ου,τό;Tavoletta;Sostantivo;Seconda declinazione
αβακίκος/ου,ο;Quadrello;Sostantivo;Seconda declinazione
αβακοειδής/ές;Simile a una tavoletta/abaco;Aggettivo;Seconda classe
άβακτος/ον;Non felice;Aggettivo;Prima classe, Alfa privativo
αβάκχευτος/ον;Non iniziato ai misteri di Bacco, Senza ebrezza;Aggettivo;Prima classe, Alfa privativo
αβάλε;Voglia Dio!;Interiezione;Arcaico
αβαμβάκεθτος/ον;Non preparato, Non condito;Aggettivo;Prima classe, Alfa privativo
αβάναυσος/ον;Non rozzo, Gentile;Aggettivo;Prima classe, Alfa privativo
αβάναθσως;Con gentilezza/generosità;Avverbio;Alfa privativo
Άβαντες/ων,οι;Abanti;Sostantivo;Terza Declinazione, Popolo
Αβαντίς/ίδος,η;Terra degli Abanti, Eubea;Sostantivo;Terza declinazione
Αβαντία/ας,η;Abantia;Sostantivo;Terza Declinazione
Αβαντιάδης/ου,ο;Discendente di Abante;Sostantivo;Prima declinazione
Αβαντίδας/ου,ο;Abantida;Sostantivo;Prima declinazione
άβαξ/ακος,ο;Tavoletta, Tavola da gioco, Piatto, Abaco;Sostantivo;Terza declinazione
αβάπτιστος/ον;Inaffondabile;Aggettivo;Prima Classe, Alfa privativo
Αβαρβαρέη/ης,η;Abarbarea;Sostantivo;Prima declinazione, Ninfa
αβαρβαρίστως;Senza barbarismi;Avverbio;Alfa privativo
αβαρής/ές;Non gravoso, Leggero, Non molesto;Aggettivo;Seconda classe, Alfa privativo
Άβαρις/ιδος,ο;Abari;Sostantivo;Terza declinazione, Sacerdote di Apollo
Αβαρνίς/ίδος,η;Abarnide;Sostantivo;Terza declinazione, Città
Άβας/αντος,ο;Abante;Sostantivo;Terza declinazione
αβασάνιστος/ον;Non provato, Senza investigazione;Aggettivo;Prima classe, Alfa privativo
αβασίλευτος/ον;Senza re, Independente, Senza regime;Aggettivo;Prima classe, Alfa privativo
αβάσκανος/ον;Libero da invidia/gelosia;Aggettivo;Prima classe, Alfa privativo
Αβασκαντίς/ίδος,η;Abascantide;Sostantivo;Terza declinazione
αβάστακτος/ον;Insopportabile, Insostenibile;Aggettivo;Prima classe, Alfa privativo
άβατον/ου,τό;Abato, Luogo Inaccessibile;Sostantivo;Seconda declinazione, Parte del tempio
άβατος/ον;Impraticabile, Inaccessibile, Sacro, Puro;Aggettivo;Prima classe, Alfa privativo
αβατόω;Rendo deserto, Devasto;Verbo;Verbo contratto
Αβάυχας/ου,ο;Abauca;Sostantivo;Prima declinazione, Capo delle popolazioni nomadi Sciite
αβαφής/ές;Non imbevuto, Non tinto;Aggettivo;Seconda classe, Alfa privativo
αββᾶ,ο;Abba --> Padre;Sostantivo;Prima declinazione, Parola Aramaica, Indeclinabile
Άβγαρος/ου,ο;Abgaro;Sostantivo;Seconda declinazione, Nome di re della città di Bessa
αβδέλυκτος/ον;Non detestabile;Aggettivo;Prima classe, Alfa privativo
Άβδηρα/ων,τά;Abdera;Sostantivo;Seconda declinazione, Città
Αβδηρίτης/ου,ο;Di Abdera, Abderite;Sostantivo;Prima declinazione
Αβδεριτικός/ή/όν;Da Abderitano --> Sciocco;Aggettivo;Prima classe, Abdera era considerata una città di sciocchi/stupidi
Αβδερῖτις/ίτιδος,η;Abderita, Territorio di Abdera;Sostantivo;Terza declinazione, Usato anche per dire una donna di Abdera
Αβδερόθεν;Da Abdera;Avverbio;
άβδης,η;Frusta;Sostantivo;Prima declinazione, Parola Punica/Semitica, Indeclinabile
αβέβαιος/ον;Instabile, Incerto;Aggettivo;Prima classe, Alfa privativo
αβεβαίων;Incostantemente;Avverbio;Alfa privativo
αβεβαιότης/ητος,η;Instabilità;Sostantivo;Terza declinazione, Alfa privativo
αβέβηλος/ον;Inviolabile, Sacro;Aggettivo;Seconda classe, Alfa privativo
αβελτερία/ας,η;Ignoranza;Sostantivo;Prima declinazione
αβέλτερος/α/ον;Stolto, Sciocco;Aggettivo;Prima classe
αβελτέρως;Scioccamente;Avverbio;
Αβεντῖνον/ου,τό;Aventino;Sostantivo;Seconda declinazione, Uno dei sette Colli di Roma
αβίαστος/ον;Non costretto, Forte;Aggettivo;Prima classe, Alfa privativo
αβιάστως;Senza costrizione, Libero;Avverbio;Alfa privativo
αβίβλαβον/ου,τό;Giglio;Sostantivo;Seconda declinazione, Parola Punica/Fenicia
αβίβλης/ης,η;Privo di libri;Sostantivo;Prima declinazione, Alfa privativo
Άβιλα/ων,τά;Abila;Sostantivo;Seconda declinazione, Gruppo di città del Periodo Ellenico
Αβιληνή/ῆς,η;Abilene, Territorio di Abila;Sostantivo;Prima declinazione, Regione della Siria
Αβίλλιος/ου,ο;Avillio;Sostantivo;Seconda declinazione, Nome di un vescovo di Alessandria d'Egitto
Άβιοι/ων,οι;Abii;Sostantivo;Seconda declinazione, Popolo Sciita nomade
Αβισάρης,ο;Abisare;Sostantivo;Prima declinazione, Re indiano della regione Kashmir
αβιωτοποιός/όν;Che rende la vita insopportabile;Aggettivo;Prima classe
αβίωτος/ον;Insopportabile;Aggettivo;Prima classe
αβιώτως;Senza speranza di vita;Avverbio;
αβλάβεια/ας,η;Innocenza;Sostantivo;Prima declinazione
αβλαβής/ές;Innocuo;Aggettivo;Seconda classe, Alfa privativo
αβλαβῶς;Innocentemente;Avverbio;Alfa privativo
Αβλάβιος/ου,ο;Ablabio;Sostantivo;Seconda declinazione, Funzionario Romano
αβλαστέω;Non germoglio;Verbo;Verbo contratto
αβλαστής/ές;Che non germoglia;Aggettivo;Seconda classe
αβλασφήμητος/ον;Non maledetto;Aggettivo;Prima classe, Alfa privativo
άβλαυτος/ον;Scalzo;Aggettivo;Seconda classe, Alfa privativo
αβλεμής/ές;Senza forza, Debole;Aggettivo;Seconda classe, Alfa privativo
αβλεμέως;Senza moderazione;Avverbio;Alfa privativo
αβλεννής/ές;Non mucoso;Aggettivo;Seconda classe,Alfa privativo
αβλεπτέω;Non vedo, Chiudo gli occhi su;Verbo;Alfa privativo, Verbo contratto
αβλέπτημα/τος,τό;Errore, Delitto;Sostantivo;Terza declinazione
αβλέφαρος/ον;Senza palpebre/ciglia;Aggettivo;Prima classe, Alfa privativo
αβλεψία/ας,η;Cecità;Sostantivo;Prima declinazione
Άβληρος/ου,ο;Ablero;Sostantivo;Seconda declinazione
αβλής/ῆτος;Non gettato/usato;Aggettivo;Seconda classe, Alfa privativo
άβλητος/ον;Non colpito/ferito;Aggettivo;Prima classe, Alfa privativo
αβληχής/ές;Senza belati;Aggettivo;Seconda classe, Alfa privativo, Riferito al verso della pecora
αβλήχμων/ον;Ottuso, Stupido;Aggettivo;Seconda classe
αβληχρός/α/ον;Debole, Delicato;Aggettivo;Prima classe, Alfa privativo
αβλίμαστος/ου;Intatto;Aggettivo;Seconda classe, Alfa privativo
αβοατί;Spontaneamente, Senza essere chiamati;Avverbio;
αβοηθησία/ας,η;Mancanza d'aiuto;Sostantivo;Prima declinazione, Alfa privativo
αβοήθητος/ον;Senza soccorso, Abbandonato, Irrimediabile;Aggettivo;Prima classe, Alfa privativo
αβοηθήτως;Irrimediabilmente;Avverbio;Alfa privativo
αβόητος/ον;Senza grida, Muto;Aggettivo;Prima classe, Alfa privativo
Αβοιώκριτος/ου,ο;Abeocrito;Sostantivo;Seconda declinazione
αβολέω;Riunisco, Incontro;Verbo;Alfa privativo, Verbo contratto
αβολητύς/ύος,η;Incontro;Sostantivo;Terza declinazione
αβολήτωρ/ωρος,ο;Testimone;Sostantivo;Terza declinazione
άβολος/ον;Giovane cavallo, Colui che non ha perduto i primi denti;Aggettivo;Prima classe, Alfa privativo
Άβολος/ου,ο;Abolo;Sostantivo;Seconda declinazione, Uno dei figli di Eolo
αβόρβορος/ον;Senza melma;Aggettivo;Seconda classe, Alfa privativo
αβοσκής/ές;Digiuno;Aggettivo;Prima classe, Alfa privativo
αβόσκητος/ον;Dove non si pascola, Senza pascolo;Aggettivo;Prima classe, Alfa privativo
αβότανος/ον;Senza erbe;Aggettivo;Prima classe
άβoτος/ον;Senza pascoli;Aggettivo;Prima classe, Alfa privativo
αβουκόλετος/ον;Trascurabile, Trascurato;Aggettivo;Prima classe, Alfa privativo
αβουλέι;Sconsideratamente;Avverbio;
αβουλέω;Non voglio, Disapprovo;Verbo;Verbo contratto
αβουλησία/ας,η;L'operare contro voglia;Sostantivo;Prima declinazione
Αβουλήτης/ου,η;Abulite;Sostantivo;Prima declinazione
αβούλητος/ον;Involontario;Aggettivo;Prima classe, Alfa privativo
αβουλήτως;Involontariamente;Avverbio;Alfa privativo
αβουλία/ας,η;Sconsideratezza, Indecisione, Stupidità;Sostantivo;Prima declinazione
άβουλος/ον;Sconsiderato, Stolto;Aggettivo;Prima classe, Alfa privativo
αβούλως;Sconsideratamente;Avverbio;Alfa privativo
αβούτης/ου;Senza buoi, Povero;Aggettivo;Seconda classe, Alfa privativo
άβρα/ας,η;Giovane serva;Sostantivo;Prima declinazione
Αβραάμ,ο;Abramo;Sostantivo;Indeclinabile
Αβραδάτας/ου,ο;Abradata;Sostantivo;Prima declinazione, Re persiano di Susa
αβραμίς,η;Regina, Muggine;Sostantivo;Terza declinazione, Muggine è un pesce del Nilo
αβρίζομαι;Mi tratto delicatamente;Verbo;Medio deponente
αβριθής/ές;Leggero;Aggettivo;Seconda classe
άβρικτος/ον;Desto;Aggettivo;Prima classe
αβρίξ;Da sveglio;Avverbio;
αβροβάτης/ου;Di andatura molle/effeminata, Delicato;Aggettivo;Seconda classe
αβρόβιος/ον;Di vita molle/effeminata;Aggettivo;Prima classe
αβρόγοος/ον;Che fa lamenti molli/da donna;Aggettivo;Prima classe
αβρόδαις/αιτος;Di delicate vivande;Aggettivo;Seconda classe
αβροδίαιτα/ης,η;Vita molle;Sostantivo;Prima declinazione
αβροδιαιτάομαι;Vivo mollemente;Verbo;Medio deponente
αβροδίαιτος/ον;Di vita molle/effeminata;Aggettivo;Prima classe
αβροδιαίτως;Dalla vita molle;Avverbio;
αβροείμων/ονος;Delicatamente vestito;Aggettivo;Seconda classe
Αβροζέλμης/ου;Abrozelme;Sostantivo;Prima declinazione, Interprete e messaggero del re persiano Seute II
Αβρόθοος/ου,ο;Abrotoo;Sostantivo;Seconda declinazione, Colui che corre con grazia/eleganza
Άβροια/ας;Abrea;Sostantivo;Prima declinazione, La persona che possiede la grazia
αβρόκαρπος/ον;Che porta delicati frutti;Aggettivo;Prima classe
Αβροκόμας/α,ο;Abrocoma;Sostantivo;Prima declinazione, Colui dall morbida chioma
αβροκομάω;Ho una splendida chioma, Curo con eleganza i capelli;Verbo;
αβροκόμης/ου;Dall'ampia chioma;Aggettivo;Seconda classe
αβρομία/ας,η;Silenzio, Tenebre;Sostantivo;Prima declinazione, Alfa privativo
αβρόμιος/ον;Senza vino, Astemio;Aggettivo;Prima classe, Alfa privativo
αβρομίτρης/ου;Dallo splendente diadema;Aggettivo;Seconda classe
άβρομος/ον;Fragoroso, Che fa strepito;Aggettivo;Prima classe, Alfa privativo
αβροπάρθενος/ον;Di delicate fanciulle;Aggettivo;Prima classe
αβροπέδιλος/ον;Delicatamente calzato;
αβροπενθής/ές;Che si abbandona a un molle dolore;Aggettivo;Seconda classe
αβρόπηνος/ον;Di delicato tessuto;Aggettivo;Prima classe
αβρόπλουτος/ον;Rigogliosa;Aggettivo;Prima classe, Riferito a chioma
αβρόπυος/ποδος;Dai piedi delicati;Aggettivo;Seconda classe
αβρός/ά/όν;Delicato, Splendido, Effeminato;Aggettivo;Prima classe
αβρῶς;Delicatamente;Avverbio;
αβρόσιτος/ον;Dai cibi delicati;Aggettivo;Prima classe
αβροσταγής/ές;Mollemente profumato;Aggettivo;Seconda classe
αβρόσφυρος/ον;Dalle delicate caviglie;Aggettivo;Prima classe
αβροτάζω;Mi smarrisco;Verbo;
αβρότης/ητος,η;Splendore, Effeminatezza, Soave;Sostantivo;Prima declinazione
αβρότιμος/ον;Delicato, Fine;Aggettivo;Prima classe
αβρότονον/ου,τό;Abrotano;Sostantivo;Seconda declinazione, Erba vegetale
αβροτόνινος/η/ον;Di abrotano;Aggettivo;Prima classe
Αβρότονον/ου,η;Abrotono;Sostantivo;Seconda declinazione
άβροτος/ον;Immortale, Sacro, Deserto;Aggettivo;Prima classe, Alfa privativo
αβροφυής/ές;Di natura delicata;Aggettivo;Seconda classe
αβροχαίτης/ου;Dalla molle chioma;Aggettivo;Seconda classe
αβροχία/ας,η;Siccità;Sostantivo;Prima declinazione, Alfa privativo
αβροχέω;Non sono irrigato/inondato;Verbo;Alfa privativo, Verbo contratto
αβροχίτων/ωνος;Mollemente vestito/coperto;Aggettivo;Seconda classe
άβροχος/ον;Non bagnato, Arido;Aggettivo;Prima classe, Alfa privativo
άβρυνα,τά;More;Sostantivo;Seconda declinazione, Frutto
αβρυντής/οῦ,ο;Cascamorto, Delicatino;Sostantivo;Prima declinazione, Nomi scherzosi di Corteggiatore
αβρύνω;Redno effeminato, Tratto delicatamente, Adorno;Verbo;Significato al Medio --> Mi orno/pavoneggio, Vivo mollemente
άβρωμος/ον;Non fetido;Aggettivo;Prima classe, Alfa privativo
Άβρων/ωνος,ο;Abrone;Sostantivo;Terza declinazione, Grammatico Greco ai tempi di Augusto
αβρώς/ῶτος;Non divorato;Aggettivo;Seconda classe, Alfa privativo
αβρωσία,η;Digiuno, Fame;Sostantivo;Prima declinazione, Alfa privativo
άβρωτος/ον;Digiuno, Non mangiato/commestibile;Aggettivo;Prima classe, Alfa privativo
Αβρώτη,η;Abrota;Sostantivo;Prima declinazione, Regina mitologica di Megara
Άβυδος/ου,η;Abido;Sostantivo;Seconda declinazione, Città dell'Antico Egitto
Αβυδόθεν;Da Abido;Avverbio;Moto da Luogo
Αβυδόθι;Ad Abido;Avverbio;Stato in Luogo, Locativo
Αβυδηνός/ή/όν;Di Abido, Abideno;Aggettivo;Prima classe
Αβυδοκόμης/ου,ο;Abidocome;Sostantivo;Prima declinazione, Soprannome di Sicofanti e Parassiti
άβυθος/ον;Senza fondo, Profondissimo;Aggettivo;Prima classe, Alfa privativo
αβύρσευτος/ον;Non conciato;Aggettivo;Prima classe, Alfa privativo
αβυρτάκη/ης,η;Aburtache;Sostantivo;Prima declinazione, Una sorta di Salsa piccante
αβυρτακοποιός,ο;Chi fa l'Aburtache;Sostantivo;Seconda declinazione
άβυσσος/ον;Senza fondo, Infinito, Immenso, Incommensurabile;Aggettivo;Prima classe, Alfa privativo
αβωλόκοπος/ον;Non lavorato con l'erpice;Aggettivo;Prima classe, Alfa privativo
άβωλος/ον;Senza terra, Purgato;Aggettivo;Prima classe, Alfa privativo
αγάζηλος/ον;Invidioso;Aggettivo;Prima classe
αγάζω;Sopporto a malincuore;Verbo;Significato al Medio --> Onoro, Venero, Ammiro
αγαθάγγελος/ον;Che porta buone notizie;Aggettivo;Prima classe
αγαθάνωρ/ορος,ο;Agatanore;Sostantivo;Terza declinazione, Figlio del Marmista Architele
αγαθαρχία/ας,η;Principio del bene;Sostantivo;Prima declinazione
